Symbol,Date,Open,High,Low,Close,Volume
AAIT,12-Sep-2013,29.58,29.58,29.58,29.58,0
AAME,12-Sep-2013,3.86,3.94,3.79,3.94,7600
AAON,12-Sep-2013,25.28,25.52,25.02,25.04,43000
AAPL,12-Sep-2013,468.5,475.4,466.01,472.69,14430300
AAWW,12-Sep-2013,48.52,48.79,47.04,47.09,125500
AAXJ,12-Sep-2013,58.58,58.67,58.04,58.09,969800
ABAX,12-Sep-2013,41.54,41.54,40.41,40.94,61900
ABCB,12-Sep-2013,19.21,19.29,18.8,18.82,16100
ABCD,12-Sep-2013,1.6,1.6,1.46,1.46,2500
ABCO,12-Sep-2013,58.62,59.07,57.43,58.15,71100
ABFS,12-Sep-2013,27.83,28.1,27.36,27.56,593200
ABIO,12-Sep-2013,1.37,1.4,1.37,1.37,103000
ABMD,12-Sep-2013,23.01,23.21,22.62,22.68,405900
ABTL,12-Sep-2013,7.37,7.4,7.25,7.25,41900
ACAD,12-Sep-2013,22.94,23.35,22.64,22.71,1261800
ACAS,12-Sep-2013,13.26,13.28,12.95,13.07,3144600
ACAT,12-Sep-2013,56.73,56.78,55.87,56.19,82300
ACCL,12-Sep-2013,9.22,9.35,9.15,9.16,97700
ACET,12-Sep-2013,14.84,14.84,14.45,14.53,106000
ACFC,12-Sep-2013,3.99,3.99,3.83,3.83,1300
ACFN,12-Sep-2013,5.97,6.02,5.9,5.97,432100
ACGL,12-Sep-2013,53.16,53.8,52.79,52.96,395800
ACHC,12-Sep-2013,38.64,39.73,38.62,39.19,249800
ACHN,12-Sep-2013,7.26,7.33,7.09,7.18,1033300
ACIW,12-Sep-2013,51.53,51.92,51.13,51.33,378600
ACLS,12-Sep-2013,2.3,2.32,2.23,2.24,676600
ACNB,12-Sep-2013,16.56,17.12,16.56,16.82,13900
ACOR,12-Sep-2013,37.19,37.37,36.51,37.15,184200
ACPW,12-Sep-2013,2.98,3,2.85,2.91,297300
ACRX,12-Sep-2013,10.59,10.64,10.32,10.55,160800
ACST,12-Sep-2013,2.9,2.9,2.76,2.82,20700
ACTG,12-Sep-2013,23.13,23.2,22.81,22.84,158800
